u,g,r,i,z,redshift,class,snr_r,extinction_r
22.29274,20.90077,19.69808,19.15866,18.85659,0.3350478,GALAXY,2.881917,0.07644284
24.10794,23.72945,21.34913,20.52134,19.96138,0.4880399,GALAXY,1.181771,0.06972309
24.65577,23.30993,21.7905,21.11252,20.89832,0.9464808,GALAXY,1.03106,0.06860796
21.49543,21.4045,21.24363,20.96151,21.05701,1.73763,QSO,1.302786,0.0771163
22.6738,21.86309,22.10623,21.68869,21.53211,2.298857,QSO,1.348526,0.08093506
21.99129,21.52172,21.15316,20.75638,20.15494,0.4600141,QSO,1.864508,0.074369
21.74604,21.29364,20.17513,19.53645,19.0283,0.4595921,GALAXY,3.506872,0.07746122
23.1003,21.57923,19.87532,19.26947,18.84198,0.3445228,GALAXY,4.272191,0.07702992
24.14211,23.45167,22.44728,23.26943,21.59239,0.9680009,QSO,0.6318337,0.07374308
21.35274,21.15192,21.07755,21.08892,20.49758,0.8292745,QSO,0.8835185,0.07904286
23.55042,21.32562,19.69697,19.13332,18.84192,0.2791607,GALAXY,4.36581,0.08003162
22.22107,22.14032,22.072,21.6552,21.66177,1.419953,QSO,1.878796,0.07642898
19.52841,19.40357,19.06649,18.91782,18.37051,0.2809144,QSO,11.20064,0.06798827
23.76368,20.54233,19.43206,18.90087,18.4937,0.2601101,GALAXY,4.991416,0.06966363
24.27333,23.04799,21.40891,20.39935,19.6639,0.6091655,GALAXY,1.51117,0.108123
21.96303,21.22149,21.27031,21.46,21.5659,0.07947873,GALAXY,6.346754,0.1173175
21.26468,21.17005,20.78239,20.39781,20.20064,2.00018,QSO,5.100998,0.1156309
22.17934,21.56826,21.62241,21.4232,21.24986,2.352393,QSO,0.6242744,0.1183657
23.05876,24.43745,21.83403,20.68131,19.60384,0.8091028,GALAXY,0.6732004,0.1214714
26.0731,23.6841,22.01857,21.00463,19.874,0.7151768,GALAXY,0.6257736,0.1183543
21.41463,20.92925,20.91297,20.55557,20.27598,0.5322222,QSO,3.452491,0.1176164
25.13844,22.95266,21.64226,20.5623,19.699,0.6649958,GALAXY,0.9220794,0.1161824
23.09515,21.65972,20.23343,19.64127,19.31918,0.2886146,GALAXY,4.198551,0.07677378
19.88451,19.47929,19.29118,19.41586,19.17053,0.9019001,QSO,11.14299,0.06995642
23.46565,20.84177,19.97211,19.78161,19.41492,0.0001857454,STAR,5.86279,0.07140508
25.51478,22.76832,21.09732,20.43107,19.94488,0.4491584,GALAXY,1.656181,0.07152615
23.33867,21.26983,19.51939,18.92397,18.4762,0.3383707,GALAXY,4.447633,0.07293303
24.97499,21.8874,20.22423,19.59393,19.05476,0.4248889,GALAXY,3.076271,0.072623
24.17719,22.5561,20.85376,20.31023,20.02889,0.4205213,GALAXY,2.040915,0.07352848
22.70964,24.8422,23.16032,21.31446,23.4863,0.7511395,GALAXY,0.3431821,0.06721538
18.66246,17.68158,17.34426,17.22402,17.19726,0.0004078471,STAR,31.8498,0.06198224
19.85963,19.02558,18.21803,17.72244,17.48365,0.2281968,QSO,12.84748,0.07063501
21.91176,21.81903,21.65028,21.32945,21.634,1.643033,QSO,1.863772,0.06223617
25.18385,21.60432,19.69241,19.04812,18.53088,0.4183988,GALAXY,2.745067,0.06808507
22.9452,22.81199,21.38897,20.53062,19.92457,0.6174005,GALAXY,1.48009,0.06910999
25.04923,23.24494,21.851,20.95171,20.24261,0.0021431,STAR,1.341451,0.06672364
19.95644,19.76156,19.99594,19.86895,19.49639,0.4452609,QSO,5.655797,0.07782697
21.98633,20.52723,19.41249,19.04246,18.82241,0.1907429,QSO,5.503878,0.0687208
21.93541,21.61075,21.71064,21.45096,21.3156,2.056025,QSO,1.371958,0.07653122
23.99298,23.33695,23.48035,22.28681,20.58349,1.083353,GALAXY,0.4372581,0.0851093
24.3284,20.51062,19.44376,19.0768,18.82088,0.0002642537,STAR,7.604926,0.08711272
21.97272,21.84897,21.7584,21.48786,21.20036,2.033075,QSO,1.537369,0.07956298
21.06527,20.65033,20.27236,19.89891,19.59473,0.5494353,QSO,2.571156,0.08882856
23.15354,21.10346,19.76177,19.37442,18.9985,0.2636275,GALAXY,2.535686,0.08309884
22.31759,20.70223,19.17048,18.65383,18.31833,0.266542,QSO,6.626089,0.08788778
23.53283,20.7239,19.22223,18.67263,18.29592,0.2643481,GALAXY,7.777847,0.0794667
23.90549,22.11845,20.71381,20.13822,19.69304,0.2832884,GALAXY,2.453946,0.08551108
24.17676,22.48041,20.76088,20.10807,19.50149,0.4593255,GALAXY,2.044027,0.07700972
22.35185,22.37778,22.05095,21.91666,21.50971,1.004226,QSO,1.138307,0.1566214
21.20768,21.07241,20.80415,20.71957,20.53477,1.309848,QSO,5.19551,0.1421358
25.49685,23.36345,21.71184,20.4583,19.67902,0.6781328,GALAXY,1.143733,0.1667221
22.08969,22.02895,22.04147,21.65026,21.64896,1.397815,QSO,1.562151,0.1547029
23.17803,22.61797,20.96002,20.27678,19.54423,0.4104658,GALAXY,1.800691,0.1538839
24.44667,21.80333,19.87125,19.20087,18.79301,0.3775063,GALAXY,5.480367,0.1504348
22.12832,21.76223,21.39411,21.02399,20.88052,1.391762,QSO,2.441019,0.1562512
25.14575,21.56062,19.92189,19.2713,18.85555,0.3612107,GALAXY,4.908423,0.1519166
21.73196,21.29714,21.21167,20.89626,20.52347,1.651816,QSO,2.312209,0.1414334
22.10325,20.61661,20.21564,20.24873,20.31361,3.255556,QSO,3.720814,0.1430807
22.55828,22.45789,22.02732,21.6534,21.61379,0.2304104,GALAXY,1.58348,0.1369782
21.53592,21.69837,21.0823,21.14441,20.73521,1.291617,QSO,1.202573,0.1425486
23.7155,22.83426,21.39687,20.27082,19.47928,0.6937138,GALAXY,1.445603,0.1421678
22.01473,21.48745,21.40454,21.04216,21.29583,1.7636,QSO,2.310845,0.1146456
24.06055,22.70432,21.33399,19.8663,19.35064,0.0001629902,STAR,3.070367,0.1201194
20.84072,20.54957,20.48793,20.28498,20.20957,1.614321,QSO,3.952789,0.1698392
21.33139,21.19902,20.90705,20.98494,20.76797,1.376625,QSO,2.503243,0.1661081
21.58687,21.53327,21.2794,21.08459,20.2021,2.031681,QSO,1.394489,0.1618966
22.8154,22.25526,21.82611,20.78536,19.96371,0.69136,GALAXY,0.5542998,0.1595335
21.93881,21.6859,21.30643,20.99342,21.05751,1.303443,QSO,3.926197,0.137475
20.2151,20.16618,20.12542,19.69304,19.77958,1.884963,QSO,6.082689,0.1307016
21.62802,21.38159,21.47994,21.14254,20.76389,1.949383,QSO,2.795533,0.1429856
25.27755,22.72322,21.42223,20.14228,19.4547,0.6056413,GALAXY,2.346198,0.1333537
24.46674,22.31515,20.81586,20.21248,19.48014,0.4117513,GALAXY,1.915574,0.1220306
23.08725,23.18727,21.14083,20.42726,19.61332,0.4911539,GALAXY,1.874489,0.1368697
25.48679,23.45352,24.39785,23.59265,19.71133,1.14759,QSO,0.1757607,0.1436053
21.23901,21.13068,20.74333,20.75788,20.45443,0.3560839,GALAXY,4.36597,0.1325425
21.22354,20.74199,20.51571,20.28411,20.29234,1.574837,QSO,5.248568,0.1390958
24.10098,24.26865,23.23686,21.79353,19.97307,0.000206038,STAR,1.106545,0.1177382
21.81302,21.07924,20.78104,20.64927,20.4646,0.7669035,QSO,5.086036,0.1400086
22.30624,21.86367,21.69709,21.48609,20.61935,0.8663333,QSO,1.432253,0.1444865
25.69933,23.18528,21.53087,20.45101,19.75475,1.3434,QSO,1.710532,0.1166373
25.68868,22.84005,21.45287,20.82622,19.98122,0.6055572,GALAXY,1.23688,0.1290489
23.87074,22.38768,21.04561,20.46399,19.70108,0.3651751,QSO,2.394606,0.125058
21.35902,19.37648,17.94381,17.40989,17.08367,0.2412468,GALAXY,13.37817,0.07555584
21.23002,20.67612,20.54428,20.50348,20.66159,2.47608,QSO,4.114321,0.07792423
21.98739,21.29597,20.78712,19.81502,19.35171,0.7665812,GALAXY,1.513758,0.07096877
